,AM156909.1,FR852584.1,AJ242593.1,FR751545.1,FM163528.1,LN681538.1,HE981739.1,HE858210.2,X60322.1,X60323.1,FN391954.1,V00657.1,AJ251805.1,X96987.2,AJ318471.1,HE611333.2,AM910650.1,HE956711.1,FN667789.1,X14336.1,V01146.1,X52107.1,HG428758.1,LK985321.1,FM887021.1,FM201281.1,FM897211.1,FM201282.1,AJ550635.1,AM084415.1,HE600015.1,AJ270057.1,AM084414.1,FR823298.1,X02139.1,V00604.2,AJ630128.1,FN263372.1,HG818824.1,LN681537.2,LK985322.1,FR667955.1,FR775895.2,HE962497.1,HG796225.1,FN422398.1,FR823450.1,FQ482083.1,FN667788.1,LN681536.1,LN681534.1,HE956707.2,FQ482084.1,FM207411.1,LN681539.1,LN610590.1,AM749441.1,HG531805.1,LN610574.1,LN610572.1,LN681542.1,LR031359.1,HE806280.1,LN610573.1,FQ482086.1,HE608841.1,LN610575.1,LN610576.1,LN681541.1,AJ842011.2,Z18946.1,HE584812.1,FQ312032.1,HE614282.1,HE956709.1,HE614281.1,LN681535.1,AJ536073.2,LN610579.1,HF563658.1,AJ006589.3,HE956708.2,FR725450.1,LN610578.1,AM910651.1,AM265638.1,LN681540.1,HE956710.2,AJ278322.4,X98106.1,FM180578.1,AJ556162.1,HG007973.1,HG380752.1,HG518155.1,AJ550940.2,HE861935.1,HG934470.1,HE956704.1,AJ312240.2,LN610581.1,FR687252.1,FQ482085.1,AJ131519.1,CU468217.1,HG818823.1,X51344.1,LN610582.1,AM183667.1,AM265639.1,HF543949.1,AJ298298.1,HE775250.1,X97918.2,HE983844.1,HG813241.1,FN297812.1,AJ697969.1,HE983845.1,AJ969242.1,HG796219.1,HG796221.1,X80191.1,LN610577.1,HG793132.1,HG796220.1,AJ302074.2,FN422399.1,AM491472.1,HG962375.1,LK392619.1,Z47794.1,X03869.1,AJ505558.1,LN610580.1,HG962376.1,HG315669.1,X15031.1,HG531932.1,V00642.1,FN594518.1,X51522.1,AM040673.1,X99260.1,X58839.1,X07489.1,Y13918.1
AM156909.1,0.0,4.239450454929567,4.825525686280905,4.091264759596631,5.089635314674699,6.2354219568564755,3.3380407981520106,3.3332042247018396,7.940785290690192,8.73749033664953,6.117280175658795,10.388018557015137,4.977873091659119,6.059477076631899,5.101177786395307,4.274388052883155,4.027319110783988,3.286384028605305,5.198607983875883,12.192595747616945,5.495054811806279,9.118935011763707,5.142721948518306,6.514500923587139,3.1724381765139666,3.3453422021393853,3.2848251520015377,3.153676920343198,11.148105695058593,4.075934448808704,3.4621635836090827,11.225695619404453,4.773884980975758,4.598009778551169,11.747972558902202,11.448869452361055,3.48945532168785,4.922583436567475,4.151132295310574,4.518525005962231,5.821116707642667,5.063245247792838,3.3672179685607135,3.4378256613072398,6.167580679193972,5.18371874983288,4.582891159991907,3.5403243735328074,5.27555870188044,4.3795200968086565,7.288249386973199,5.153842270116904,4.409271323680527,3.9482195383929914,6.725617906138571,4.514252977994914,3.8174847326768937,6.761817522947761,4.858881396639566,3.3587436754859405,6.614837437984523,3.735640040970132,3.508171120562839,3.896286603920289,4.464666175994938,3.718236842173897,3.125629906630134,3.7733108036395286,7.009731567868111,2.9899059796479777,3.657342764585217,5.33919390959518,3.6628142580375944,6.107549522459464,3.138965565970182,6.084544996680581,4.146500023693673,6.041484501902721,3.296823115165825,5.011463052007246,5.117371165236637,3.2849859174641143,4.76669480128465,3.969213406353981,5.123456530559012,4.918886883043443,6.335693445382084,4.575747731327313,4.021439178293643,4.853380348408697,5.968155599108388,6.048597521207829,9.293803844816217,6.5045852060179685,4.604968128957453,5.290722921181843,5.710293600847387,4.899372415480407,5.699318826144281,5.590416747694954,6.753162911172254,4.747638013814815,3.808603317827202,4.516719757143757,5.3703966730403065,4.76154296806653,12.948638279155768,6.596896130367224,5.516034498197401,4.446386292925079,4.717500473852949,6.5978656681231165,4.930494795463983,7.545589856722968,4.408506877245555,4.814762469110065,6.407424779455397,8.108798103061861,3.7402864513923335,13.291283259526397,5.7193954120422745,6.331590852970766,13.52757463301214,4.573433807295072,5.6060721756305005,5.952437407071933,5.0161320120300665,4.645002312223872,4.657019992123585,5.232778452118598,5.554146662592459,7.262642848407453,12.082394914308185,5.303212306859494,5.73468418494641,4.068384648539686,9.35761279074488,12.493192105650875,8.526323328062551,12.373050254327598,6.176480461052915,8.222654044721791,10.835752677938148,6.438387014665406,12.752166622883335,13.107474748961376,19.517351273365954
FR852584.1,4.239450454929567,0.0,5.433961816170177,5.762822813664132,6.092165250738048,6.9297772044788,2.666381196986455,2.6619689837274234,7.959127803753697,8.720291004513355,6.555052621198477,10.371184678088063,5.067130384147666,4.370246928859395,5.18226709953912,4.747696655241854,4.712419974686893,2.630179324540536,4.596103089385746,11.726970148942428,5.371695884234493,9.097655452968887,6.4048529868994475,7.203199254531754,4.244643618851227,4.463486837427121,4.288039550597919,4.188733832109405,11.032144889158028,4.04433878893261,3.471041240985199,11.027059069883776,4.777754604094398,4.986753199165085,10.828482308686773,10.634446156414851,3.233649350740624,5.772169823546634,4.530169378340209,3.804915632913942,6.583375638301406,5.535184712100261,3.215641800042122,2.7870144969207638,6.908345091536663,4.911666736930046,3.685996264138684,3.787527439596953,4.72349649946117,4.898908643505376,7.329637648066305,5.6842411334030825,5.647241473684818,3.916030842853587,7.626546589458287,6.355949730332604,5.237774033608763,7.39062739971288,5.739973856101864,3.88657545636253,7.176579537105198,2.415042458124642,4.705784290831833,4.4155629990250596,5.716612719336422,3.5954977582466,3.771016177539681,4.335477662476169,7.615368493248677,4.846609658518112,5.198412627234527,7.308796118549753,3.525415629864789,6.899167327154563,3.4134749867810106,6.875189135707167,4.33927854417124,4.683529210599081,4.397231737542144,6.442418701370045,6.583579117470265,2.936218497517018,5.995482139290722,4.461730168905464,5.879432155439698,5.8494966082645155,6.661258878178551,5.1369802510798515,5.7552327685874385,5.871383851074873,7.644299688459556,7.522575019885812,8.660643622360944,7.685192239271225,5.193645729404488,6.810715261264361,6.744905263551566,6.467317000920556,6.5784858247735425,6.8309579292644775,6.919614480208347,5.115471264883148,5.955791896031511,5.36153203426481,6.901459316762431,5.657906024719284,10.949521462983885,6.82040586773687,5.916648555967831,5.42537504314907,5.003543341546435,8.098252765461524,6.602969609152724,7.4275307980740335,4.700725546082199,5.271963785229576,7.618055508772949,7.408316850769932,4.192115826172091,11.353613493905149,6.942037344719368,7.491534041724271,12.935765709345999,6.038973835712632,6.773778118384161,7.143097372025593,6.502945580169462,4.259753923200343,6.603131322302294,4.882323722262805,4.995326770263489,6.564194694626863,11.997748246699931,6.207282190106391,6.461584468904928,5.618825705192421,8.626855256283491,12.244826580870406,7.546646369778049,12.037193129226528,6.956319005073215,8.743382919021451,10.954489646373112,6.673752166067231,11.41216735451387,12.778805397971533,20.554556409363055
AJ242593.1,4.825525686280905,5.433961816170177,0.0,6.0071763816616786,2.570252382470526,3.9467479447637235,5.828536421256177,5.816907501949308,9.846992283772863,10.829165839539936,3.1920715053549724,12.797351298977254,5.556954962857847,8.151930699164947,5.387361185647655,6.131422667282601,5.210712786310453,5.984731331945228,5.823711953050638,11.648794817899393,4.972330780035281,9.033585589053594,5.521829835336589,4.333749996924511,5.950350229493311,6.246235015486029,5.909013861493589,5.911931686840045,11.851102769631511,5.316981326363879,6.23782650183053,12.01421548461697,6.204485086166157,5.897012595548635,11.896322120097713,11.469563631883124,5.495336275849372,6.94228852862562,5.808634116305512,3.958382558590545,3.1417570665677856,5.288901459530462,6.234078756659964,4.22170960625241,4.272499549588304,7.882070107459918,5.471453387256956,6.43965230134361,6.062830477592425,3.056096616992581,3.8040266621079066,6.481770080181998,6.041201537676795,5.633952146121522,3.7881855156697366,5.387407230960251,5.327500641016502,3.707887073560748,7.0217007705593915,6.493068664119789,3.598540755624411,5.802554819065112,4.341658280992485,7.066965607845772,5.918275240151641,5.164399308453643,6.161675652956272,7.0327292204361695,3.745488088179322,4.298985600733092,4.594516319880503,5.224201492458731,6.308188018429252,3.2574487022600778,6.1796164918692185,3.2409833528209058,2.9720204879924093,6.428884536629818,6.221056558054603,3.1636191987663076,4.999108765948316,5.479206453387279,5.264436252485506,5.779293074429796,7.167866844165239,6.58633088719849,4.1447991058661176,7.185290292374735,5.6179782048957705,2.8676409617365746,4.300727989933026,4.378562463696725,9.769270802406343,3.634726128938342,5.277638558207707,4.9751595650396006,2.8679668175427078,3.5347205367703367,3.9038775358798983,3.2274725583008617,9.077365635033399,6.816361027703632,4.254740838245176,2.9100252620247145,5.885332624951898,5.37479852499657,12.88625189889969,9.218295938928529,5.848226145136823,6.4572694077960975,6.5128177799152605,5.0573095516393565,3.605528700736372,6.9238579812069325,6.708925315559793,5.998896090608871,4.914524444021091,11.289243243169592,6.9760808237746765,13.202261072104795,6.447100401569481,6.962884205251893,15.930762984677134,4.8233542705103085,6.46446310967891,6.5680007114608765,3.025456252748521,6.996595223066289,4.186832294381779,7.7444390270625405,8.198047681978545,9.990567208280789,14.51671665038795,6.999127128756083,7.675761762097927,5.6432801253129075,10.271626579641424,15.145729666340314,8.137159607579216,14.998063717022665,7.2473274807297585,7.288832691331164,11.990216731824413,7.557145360597614,15.325016652345477,15.726019352254973,18.677087847641783
FR751545.1,4.091264759596631,5.762822813664132,6.0071763816616786,0.0,6.214904603421912,7.462698394946835,4.82901093105845,4.832799536164666,7.988890146541895,8.766425848199008,7.422733706800963,10.316081394005678,4.706412517241017,6.957312695228979,4.658419157643349,3.6870243310336073,3.662790539013962,4.982231936452072,6.074268087175742,12.568074338117054,5.333199703734598,9.498494154209217,3.9162359430296303,7.683829489073089,4.072394277534861,4.197254717390922,4.042704077890085,4.100275130504463,10.991514558424878,4.023846904765308,4.689597140399192,11.039544753506757,4.489837536260192,3.8049296107543187,12.144841672923608,11.935981351935261,4.86849590262696,3.450562196402313,3.788897589934948,6.112580087535704,7.119574348974983,4.468407572528793,4.8279368620797065,5.11820427617628,7.328493774414696,5.730809988012018,5.907762365014901,4.8513239856633295,6.122586733903731,5.467748360766171,8.225490829401604,3.9428390475609074,3.4202353742220986,5.344585466686924,7.861277835900013,4.9686890878411845,4.069268749880362,8.040482512893341,3.343978444578103,4.965593377136971,7.912653797907522,5.136653935950324,4.807802413794225,5.039152966031204,3.5657131704068363,5.460674457405568,4.829414203174068,4.970633950935405,8.241269706856345,4.684823906643079,4.562214930686138,5.509083785872358,4.827742414817138,7.214164887339829,4.664338642737826,7.1994028986270715,5.387479156188299,6.967170547869355,4.1704108702915486,6.030689669403722,5.582647434718949,4.665639773428733,5.375324008131748,3.8933620474463257,3.5666757972225853,3.298970435731889,7.483770173312209,3.72269404213551,4.472815889733908,5.636379675190101,6.723039123300069,6.981649590910792,9.460010628066598,7.247345536298733,4.017460324538156,5.849804968427986,6.485452395333522,5.526754771324925,6.509298968399189,6.610337135937213,7.554591962508173,3.4226430093704456,4.492277419932057,5.935456516863116,5.617445572065914,4.331994970353628,13.70232680744719,7.4666663490291905,4.466150743682757,3.355471004538877,3.9572765985465455,7.250104620878582,5.569982274263964,8.168328126347456,3.8728361851927704,3.756311593530643,6.908806146827918,8.373813984410718,5.114632137952108,13.912858594857203,4.073361663263702,4.558107128757056,13.884801620657989,5.020214504878275,3.9859376421163355,4.304451848786056,5.924154937546788,4.645887124505138,5.530982059489902,5.133660673425506,6.249674212524013,7.820853045852668,12.21378397936911,3.572534818019361,4.259461078720299,4.283009566101327,9.614525514747088,12.472435748036016,8.729841998037122,12.460992735318795,4.285159538426204,8.66578297342539,10.726093729407598,6.516017718327516,13.959882616835586,13.173325883307234,20.059316534726978
FM163528.1,5.089635314674699,6.092165250738048,2.570252382470526,6.214904603421912,0.0,4.234069935111799,6.191511620912231,6.179106922465246,10.026368611800237,11.07173752579635,3.180542472906128,12.920676430034563,5.8029453986123505,8.596535596600331,5.565600530133464,6.34590169499512,5.268966421615452,6.355787327611961,6.165825509788891,12.076630467967442,5.151046591946557,9.275439271363435,5.420419662024728,4.497637969088587,6.221346137240437,6.514604635758788,6.146872978307364,6.196869577779079,12.008735004545835,5.667226007475784,6.522933238760491,12.17213043038047,6.485570288420619,6.0579374204571135,12.465665417389056,11.968487240381922,5.916452846093863,6.933083637469129,6.025741574068708,4.320234194667647,3.543846118702843,5.32996813392095,6.590756598083365,4.741957151259681,4.520923497829509,8.144172875749517,6.009734159885029,6.8701875639200525,6.372989316364888,3.5133307598433094,3.9657568635013862,6.387666280003482,5.967453553482286,6.080887860568048,4.030247533865885,5.516590987250159,5.19303529819725,4.003725641909919,7.139461753773817,6.816934235531867,3.8304817276731584,6.29684682868172,4.9324508548349915,7.392405460177441,5.799095475486617,5.446445199635817,6.474128839492754,7.367461477626064,3.954953782749946,4.640217239050353,4.666895523092228,5.345604647736324,6.58007850399576,2.821616033678999,6.497841332185368,2.826560274646264,3.6184100271058046,6.823576272486374,6.4354015816604,3.206296039668138,5.257534766294685,5.8041070314390035,5.7783818685766555,5.9007420037464104,7.185891358411735,6.622817050399854,4.527706912912883,7.274686520390318,5.677870434939333,3.0260508407032582,4.032965795065437,4.226271110307337,10.187697499379752,2.9560001215468685,5.223521596660859,5.144453065205185,2.660861345247532,3.3483736714961583,3.733275920352547,3.1262470505985895,9.370936118039928,6.992846528868268,4.34814770659064,2.808669549331371,5.91751951263942,5.4420442196104055,13.448644622769606,9.48010660011621,5.771726825257183,6.477144475663922,6.6299714303415564,4.969927387834278,3.3437971978427607,7.392654178711398,6.885061196694186,6.042496364813233,5.089606306309489,11.549914835602513,7.284337793523122,13.613479481541873,6.08501224086117,6.624736415851144,16.271918791275144,4.579456436931407,6.134557366921601,6.190638977875958,3.12250476991815,7.188702763340341,4.039186268147773,7.9187313026209765,8.38921697288492,10.334173489589169,14.817003574603715,6.930532034909138,7.645510706259229,5.66767004293907,10.637482097817573,15.4916123905215,8.139347201301533,15.27647233301977,7.071562387288819,6.980444204943337,12.110818800398501,7.610272019270816,15.886518334949848,15.964855615487885,18.313848420393533
LN681538.1,6.2354219568564755,6.9297772044788,3.9467479447637235,7.462698394946835,4.234069935111799,0.0,7.208777976069256,7.199721543834049,10.725768986344297,11.647708637023749,3.792940533203359,13.700871818669505,6.758362886651692,9.691697877889329,6.537196659497411,7.503073827091856,6.496225580250356,7.407596895178464,6.204411634033016,11.676690192603798,6.112662971619162,9.779680366397066,7.126258144430518,1.2187208244888084,7.233366828942304,7.483726124003803,7.20349658033262,7.191032285257938,12.17200179208608,6.864629152391403,7.472996484760099,12.399550896127465,7.462976534642444,7.257906408557555,12.139897676932893,11.722328797902183,6.75354065178498,8.115779926312717,7.106601162042845,5.2662188961822975,2.8922831043733477,6.437497282681711,7.746613545613711,6.100789426725332,1.5162611702179807,9.34877954218571,6.224015545704528,7.32160150260292,6.405579167699411,4.349302995395732,4.5398860584286345,7.542913800708556,7.222298508336251,6.550367468441867,2.9928412112916605,6.579791698682775,6.5138575756362584,3.3360164946176867,8.256279446307461,7.997628761825868,3.318500826132597,7.512086283836443,5.820728002489419,8.47819760147611,7.07597564464747,6.967659713395607,7.678134813655174,8.394986145525149,3.1582817432742187,5.544786778570311,6.009936846475257,5.962352875579763,7.279193544349655,4.002173348301397,7.508538749058699,3.978707424434907,4.4696155394612544,7.506379021983544,7.49831272842492,4.960100929794939,5.699109976584217,6.875604668156843,5.54155763893669,7.123251601274904,8.337266297331032,7.6687456654597,1.5058390719302839,8.65872516624581,6.441057469272094,4.473215634621418,5.254367140373791,5.320522800082108,10.969014089980508,4.422101932985889,6.353829635803312,5.429282240763351,4.436830456332333,4.684368745782525,3.712611298309805,3.5712661572182514,10.942382139829348,8.165864814759702,5.169672865884093,3.9850917738291227,7.441774459622359,6.44954186878781,13.770588376002017,10.98958599584722,6.972928507941287,7.78416585655977,7.793755216621877,4.182913408843265,4.685665382488249,7.690652180419885,8.063377237880635,7.268512050999319,4.021055977298588,12.400772898029649,8.330958971558621,14.052908952865458,7.521680262484892,7.93885333260292,16.633603385851856,5.497373513206474,7.568907530254979,7.572982517522714,4.689638912405136,8.563493950638147,5.153483983397384,9.188125293328431,9.368070885748267,11.028864409886058,14.877848534785901,7.981280524372515,8.614796332287776,6.862075726521406,11.275348938891932,15.773875681951585,8.584043622491789,15.713600767113528,8.19185463607081,8.22830941526551,12.700569632431407,7.592993262767213,16.35182628670963,16.166978328732704,18.282497632856256
HE981739.1,3.3380407981520106,2.666381196986455,5.828536421256177,4.82901093105845,6.191511620912231,7.208777976069256,0.0,0.06712574840499914,7.57174751400339,8.35200100551813,7.035635786615528,9.8643047348832,5.042442100914966,4.656199912144169,5.2203700635491765,3.9456466013866605,4.035594072621962,1.2110783882681562,4.140018849608119,12.273287834876438,5.689750401604925,9.370106912004832,5.771081147244656,7.450853187485506,3.0684651371131806,3.3094789955041626,3.154842211761507,3.097149500491161,11.189031995014258,4.047166660582964,1.931360129630497,11.174024307544267,4.48382536630814,4.476909545619059,11.526042051019548,11.283146582540645,2.590678060480005,4.784871755467759,4.0915472698226685,4.125149084129976,6.81772301855391,5.405875215048144,1.7749879850714818,3.074616340757018,7.067718580157812,3.825651955055595,3.558426758030127,2.579204933994376,4.206550710324415,5.043058230320215,8.165726240113212,5.086345091327978,4.772613962198618,3.423283166881762,7.935446952833029,5.505087278255451,4.084254124290774,7.768438580368819,4.778479235135493,2.309079261011609,7.616372077241765,2.117675220920617,4.486894036535213,2.8534501293464163,4.849280693207905,3.264734263840928,2.274509385890861,2.7237963486714496,8.073735408673995,4.34409029828104,4.537810054858081,6.62188170378006,1.8836308388337792,7.183012655957468,1.5077997515462354,7.159546258214156,4.690160619590407,5.479635753544317,3.189562964189955,6.423391833213133,6.084065925708834,1.7898880459356854,5.526202985640982,3.620824797874645,4.886531775608792,4.99420424705472,7.034864793359357,4.167927661030761,4.75085331071243,5.91747288625694,7.215349693446082,7.250051056031268,8.856971785870016,7.804128674756562,4.585335099249008,6.354108184256113,6.914895135469668,6.324898416726446,6.674757605279944,6.8465667422616265,5.928912221041129,4.395910024324823,5.1495814557597175,5.417697002644742,6.045013259477157,5.329315175745189,12.085851217634087,5.7603443287681575,5.661436635124614,4.384412291646698,4.249156769045698,7.830158188481595,6.430051433937964,7.871691726103713,3.798649704155091,4.803640350211368,7.318856349458538,6.412717735938948,2.53628829072457,12.416363151119512,6.133223183541154,6.8253157593308025,12.299510690182048,5.13823365587572,5.9425064516357695,6.35852095400166,6.464484860350533,3.247659511224763,6.216323131011358,3.873378298398421,4.352100434814,6.077423703035762,11.421230319516818,5.256705324784622,5.56633061212546,4.761377109303457,8.823715416734126,11.643556179452625,8.106594531538834,11.398013981909456,6.158364572660909,8.249603547062428,10.760143453902135,6.433705946693053,11.505425220151368,12.069007988585208,20.454259406542405
HE858210.2,3.3332042247018396,2.6619689837274234,5.816907501949308,4.832799536164666,6.179106922465246,7.199721543834049,0.06712574840499914,0.0,7.580088518313566,8.362282597040322,7.022038158857496,9.87607321883944,5.043433765181382,4.658948895778562,5.221691585239191,3.9548092784056146,4.036974163104855,1.207397897888313,4.142071143426991,12.272352899509041,5.689051257524567,9.368243381526831,5.768808375695384,7.4426033736449355,3.073215457573603,3.315551031039193,3.1589470546433787,3.101630140555697,11.192560123928592,4.048906416217438,1.9337672497033898,11.177902955223699,4.491617659833793,4.47777985272114,11.527946231082964,11.283208905688689,2.5969497304063123,4.789384093275664,4.099122261520246,4.1120370197260785,6.806035730418888,5.405758902612057,1.7776370532447128,3.0669010316837566,7.058746184987461,3.8330468864492273,3.559624290750714,2.5904787912007614,4.209772314065663,5.03709881611007,8.155344495937731,5.089738769637672,4.775044332081445,3.429102653715523,7.923955736086139,5.500854693218383,4.079001908807428,7.755265533893289,4.784349883979866,2.303456741821647,7.602734386920142,2.1128191644518273,4.482382279164301,2.8584336326789708,4.849828334529174,3.2519835787656155,2.268100689374945,2.7307594068715555,8.060365038022836,4.340904093241802,4.528830234696539,6.618509826098918,1.886833933356965,7.171281464223691,1.5123901993099997,7.147878580699212,4.684319482762062,5.477360716720237,3.1932189855167463,6.412877905648857,6.082078870406413,1.7932349557388179,5.529346100879357,3.625363655835513,4.891914828726081,4.9976529224857655,7.025478114996959,4.175441613489324,4.751990346176316,5.9087658867699595,7.207657369723286,7.244116650569552,8.855204998324984,7.79428385353476,4.58480220544946,6.3517578293763535,6.903794812198813,6.317676841950129,6.670111220828344,6.8368839983875445,5.928687190726681,4.407056939027065,5.147019479475376,5.407308952950053,6.0377983610282655,5.33386638861718,12.089724779176533,5.763553548328024,5.665434667159749,4.384456987251929,4.254838674332423,7.8253274442192575,6.42281700602697,7.876984574467966,3.8074956787087952,4.805980334246669,7.3128083307641445,6.428483675537297,2.5407206946932384,12.419016233335737,6.132317653268702,6.826972659765538,12.315418306599357,5.13110447478078,5.942665850135372,6.357232338288573,6.4543994456952785,3.2542780156382554,6.2138457580676505,3.882196790006613,4.363187200926265,6.098430730502924,11.43813792105515,5.26170881186482,5.5725211027111055,4.76335573963834,8.82449119694141,11.659925316253677,8.106794872462746,11.412793531392083,6.162573699209796,8.238895991226924,10.759377354756147,6.4416805177061995,11.511470117474037,12.084249406755587,20.454268923330595
X60322.1,7.940785290690192,7.959127803753697,9.846992283772863,7.988890146541895,10.026368611800237,10.725768986344297,7.57174751400339,7.580088518313566,0.0,3.474807426970601,10.771696538960763,6.291086337085288,7.088605479388581,7.86509194636072,7.300870708498064,6.387589223835834,7.225423437012642,7.486147298543829,8.703553837458125,14.059248355633013,7.947753442493983,10.90560168941244,8.620242608196964,11.001927925381127,7.479387592772012,7.4086923162509795,7.549740356682645,7.33889201078332,8.575671882357552,7.09664173384081,7.289677573831821,8.549675694676175,6.497654079670596,7.019417905175372,13.013400585432155,13.03122671152946,7.350538708862962,7.008013599315816,6.709907812643844,8.877331956084605,10.649187876309258,7.421232638276518,7.951620219050591,8.201433590867959,10.793577533943237,6.649546582308635,8.328898799328526,7.077488392427493,8.734623919726491,9.239844709441881,11.184582737183105,7.08226454853922,7.624625557180597,7.5726306855044925,11.615362278996313,8.456995708164927,7.898640054735424,11.429846591039595,6.819638009003752,7.824572872085976,11.373371782326382,7.961086340063382,9.097271617669174,7.387883829926807,7.763424563257262,7.973464501607207,7.892854050066174,7.334020923812625,11.60620925182853,8.100769207916464,8.65077623209553,9.323275420980007,7.321467055749215,10.991446592980797,7.533259826311057,10.960699038712718,8.896784060936188,8.36950866182566,7.4251412414048135,10.1616195794318,9.62230198877417,7.470265043404319,8.366244817121958,6.6012823628985124,6.824817405432195,7.040716459744975,10.72300713861763,6.448325344641267,8.29975038454534,9.894533425385085,10.580438989077027,10.286081428475601,10.813493353661926,11.547359828627384,7.4161142090742596,9.748970226700486,10.876555613622328,9.977888033072661,10.037738734316235,10.864119426843788,9.474684185755427,6.884253771812754,8.948337607984335,9.494149926477803,9.163940477664314,7.441733703688034,12.81785415691263,9.240807906565474,7.590284255765417,7.241541004223309,6.728372994227111,10.929023849782325,10.069549372075517,9.890937706354135,6.5566668288040315,7.3676906564894376,10.459976038635611,8.000166124368972,7.538566225379112,13.291909151827175,8.664114331947962,8.81949406366278,12.139263682789668,9.337849149528283,8.385530220529246,8.746492288690842,10.308246773940589,6.945825491097187,9.539291950077176,6.602597051791954,7.227221568164212,7.623417009126958,11.25030098158655,7.4334557194260915,6.838738209463691,7.64204137386721,10.271676392528123,10.91957334427993,9.892344783495336,10.672602751176646,8.014041419383705,11.628429962784885,11.797396311842501,8.971560099746346,12.21687332665675,12.478080993309465,21.88520173718139
X60323.1,8.73749033664953,8.720291004513355,10.829165839539936,8.766425848199008,11.07173752579635,11.647708637023749,8.35200100551813,8.362282597040322,3.474807426970601,0.0,11.883283853584922,5.02778791133893,7.840727257994954,8.47540533966931,8.146920011064013,7.197003327654696,8.270936440472465,8.148882935132736,9.681854663465828,14.910158202995959,8.894223215676941,11.411729549253115,9.621706179804956,11.964042098210866,8.099139860449002,7.959775158677925,8.172782999417912,7.945158511624807,8.183542452440088,7.85501103488154,8.007075741043037,8.131929982265657,7.08084804990308,8.045996921296105,13.690720600220184,13.867816141294615,8.00906978568327,7.9475131678112625,7.561908970969151,9.785127735844585,11.644665368885308,8.5082683288154,8.630431763571183,8.877526157703059,11.77875881287999,7.048769992750048,9.122169375656984,7.7551932165121675,9.70503169191457,10.200502444749713,12.24578781553483,7.958566800811101,8.570808680705484,8.352098491445277,12.634287998298078,9.252264054663545,8.837203675835802,12.458011586492669,7.666646283120037,8.383096155898423,12.420188270649598,8.570905959938496,9.942101854855927,7.908310997583868,8.762125171225243,8.664285974658936,8.464939150707087,7.83771138057316,12.64273391995133,8.973731935470056,9.551444976411183,10.212545349867145,8.125549477528931,12.127557918011043,8.21196992611074,12.095175525803866,9.839219813485295,9.194457210445385,7.980516963945369,11.128427518689753,10.559432189171782,8.307771771677777,9.215850810105335,7.445445739409731,7.7336406818347205,8.042950690219142,11.738488303064763,7.212817663031986,9.003925580663127,10.904599597910156,11.631188684385844,11.216667146700726,11.087508479682992,12.672405030233655,8.515221368217755,10.682275515721123,11.94540346536296,11.082767652720841,11.026738030399958,11.869015535018704,9.950227413379901,7.610147616101343,9.682162810709183,10.45055470953799,9.706232044570196,8.164069529823976,13.175134533449901,9.615498863003948,8.527161464528044,8.157636929877786,7.556091225593953,11.87163468884755,11.163261097864872,9.744667700495512,7.3250388767942445,8.374830887392044,11.358685834875075,7.9622349244704855,7.9281656363198305,13.871783657533749,9.65179296132637,9.811579724924242,11.46216625455795,10.427370170393736,9.313236846322711,9.7464945936132,11.28582966591699,7.741186277525821,10.485610146052995,7.2128768016203875,7.73488406370877,7.420996512817121,11.343419607247663,8.444381223301123,7.636531893539784,8.347039867697296,10.938542600139009,10.211265203877577,10.562354542088789,10.246467908216388,8.919869687486301,12.645741199618888,11.9562630235252,9.653796097740358,11.870940041984355,12.118778813256974,22.818636228206902
